TripID,Type,Time,Uber_Dist,Tessie_Dist,Primary_Dist,Rider_Pay,Uber_Fee,Platform_Cut,Driver_Net,Sentiment,Method,Link,Notes
T012a7198,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_051113.jpg,
Tb4ea5011,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_050455.jpg,
Tba17f3a4,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_050610.jpg,
Tbb05eb0f,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_045934.jpg,
T636f6be6,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_050351.jpg,
T2f1bba59,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_044852.jpg,
T1391d61e,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_044844.jpg,
T96265451,Private,05:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_044831.jpg,
T32a09d37,Private,07:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_072805.jpg,
Tb522c7b8,Private,07:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_070742.jpg,
T6c844292,Private,07:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_070446.jpg,
T133b269b,Private,07:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_070351_Venmo.jpg,
